Row,Labels,sp gen,common name,fam,gen,sp,ColumnID,allgeier_FFG,Valdivia_FFG2,Valdivia_FFG_big Pred Cat,Valdivia_FFG,tp,Valdivia_TP,transient,chondrichthyes,notes,weak tp est.,a.Valdivia,b.Valdivia,a.Allgeier,b.Allgeier,a.final,b.final,Valdivia Value,notes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lactophrys,trigonus,Lactophrys trigonus,buffalo trunkfish,Ostraciidae,Lactophrys,bicaudalis,Ostraciidaespsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.2,3.14,n,n,,,0.375,2.1,0.0295,3,0.375,2.1,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Hypoplectrus,unicolor,Hypoplectrus unicolor,butter hamlet,Serranidae,Hypoplectrus,unicolor,Serranidaespsp,Macroinvertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.2,3.65,n,n,,,0.0109,3.182,0.00903,3.151666667,0.0109,3.182,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haemulon,carbonarium,Haemulon carbonarium,Caesar grunt,Haemulidae,Haemulon,carbonarium,HaemulidaeHaemulonsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.25,n,n,,,0.0404,2.74,0.020616667,3.009333333,0.0404,2.74,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apogon,maculatus,Apogon maculatus,cardinalfish ,Apogonidae,Apogon,maculatus,,Planktivore,Planktivore,Planktivore,Planktivore,,,n,n,,,,,,,0.0158,3.073,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scomberomorus,regalis,Scomberomorus regalis,cero,Scombridae,Scomberomorus,regalis,Scombridaespsp,Top Predators,Apex predator,pred,Piscivore,4.5,4.48,y,n,,,0.0202,2.8,0.0202,2.8,0.0202,2.8,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sphoeroides,testudineus,Sphoeroides testudineus,checkered puffer,Tetraodontidae,Sphoeroides,testudineus,TetraodontidaeSphoeroidessp,omnivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3,3.15,n,n,,,0.0107,3.267,0.0235,3.05,0.0107,3.267,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centropyge,argi,Centropyge argi,cherubfish,Pomacanthidae,Centropyge,argi,Pomacanthidaespsp,Microinvertivore,Herbivore,Herbivore,Herbivore,2.9,2,n,n,,,0.0353,2.896,0.0319,2.899,0.0353,2.896,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elacatinus,genie,Elacatinus genie,cleaner goby,Gobiidae ,Elacatinus,genie,NM,#N/A,Microinvertivore,Microinvertivore,Microinvertivore,#N/A,3.44,n,n,,,0.008,3.137,NA,NA,0.008,3.137,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Halichoeres,maculipinna,Halichoeres maculipinna,clown wrasse,Labridae,Halichoeres,maculipinna,LabridaeHalichoeressp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.25,n,n,,,0.0028,3.693,0.0111,3.04,0.0028,3.693,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stegastes,variabilis,Stegastes variabilis,cocoa damsel,Pomacentridae,Stegastes,variabilis,PomacentridaeStegastessp,Herbivores,Small Omnivore,Omnivore,Omnivore,2.5,2.53,n,n,,,0.0324,2.836,0.0303,2.887,0.0324,2.836,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coryphopterus,dicrus,Coryphopterus dicrus,colon goby,Gobiidae ,Coryphopterus,dicrus,NM,#N/A,Small Omnivore,Omnivore,Omnivore,#N/A,2.69,n,n,no model,,0.008,3.137,NA,NA,0.008,3.137,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Centropomus,undecimalis,Centropomus undecimalis,Common Snook,Centropomidae,Centropomus,undecimalis,NM,#N/A,Piscivore Invertivore,pred,Piscivore,,4.41,n,n,,,NA,NA,NA,NA,NA,NA,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cephalopholis,fulva,Cephalopholis fulva,coney,Serranidae,Cephalopholis,cruentata,Serranidaespsp,Macroinvertivore,Piscivore Invertivore,pred,Piscivore Invertivore,3.2,4.05,n,n,,,0.0188,2.973,0.00903,3.151666667,0.0188,2.973,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fistularia,tabacaria,Fistularia tabacaria,cornetfish,Syngnathidae,Fistularia,tabacaria,Syngnathidaespsp,Piscivore-Invertivore,Piscivore Invertivore,pred,Piscivore Invertivore,4,4,n,n,no model,,0.0194,2.999,0.0004,3.122,0.0194,2.999,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haemulon,melanurum,Haemulon melanurum,cottonwick,Haemulidae,Haemulon,melanurum,HaemulidaeHaemulonmelanurum,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,2.15,n,n,,,0.0226,2.953,0.0226,2.953,0.0226,2.953,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Paranthias,furcifer,Paranthias furcifer,Creole fish,Serranidae (seabass),Paranthias,furcifer,Serranidaespsp,Planktivore,Planktivore,Planktivore,Planktivore,,3.06,n,n,,,NA,NA,0.00903,3.151666667,0.00903,3.151666667,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Clepticus,parrae,Clepticus parrae,creole wrasse,Labridae,Clepticus,parrae,Labridaespsp,Planktivores,Planktivore,Planktivore,Planktivore,3.3,3.31,n,n,,,0.0145,3.053,0.0111,3.04,0.0145,3.053,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Caranx,hippos,Caranx hippos,crevalle jack,Carangidae,Caranx,hippos,CarangidaeCaranxsp,Piscivore,Piscivore Invertivore,pred,Piscivore,4.5,3.5,y,n,,,0.0518,2.7344,0.022966667,2.945,0.0518,2.7344,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutjanus,cyanopterus,Lutjanus cyanopterus,cubera snapper,Lutjanidae,Lutjanus,cyanopterus,LutjanidaeLutjanussp,Piscivore-Invertivore,Apex predator,pred,Piscivore,4.4,4.22,n,n,,,0.0151,3.059,0.0187,2.981666667,0.0151,3.059,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ctenogobius,saepepallens,Ctenogobius saepepallens,Dash goby,Gobiidae,Ctenogobius,saepepallens,NM,#N/A,Microinvertivore,Microinvertivore,Microinvertivore,,3.35,n,n,,,NA,NA,NA,NA,NA,NA,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Acanthurus,chirurgus,Acanthurus chirurgus,doctorfish,Acanthuridae,Acanthurus,chirurgus,AcanthuridaeAcanthuruschirurgus,Herbivores,Herbivore,Herbivore,Herbivore,2,2,n,n,,,0.0041,3.5328,0.0237,2.975,0.0041,3.5328,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lutjanus,jocu,Lutjanus jocu,dog snapper,Lutjanidae,Lutjanus,jocu,LutjanidaeLutjanussp,Piscivore-Invertivore,Piscivore Invertivore,pred,Piscivore Invertivore,4.4,4.3,n,n,,,0.0085,3.2,0.0187,2.981666667,0.0085,3.2,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stegastes,adustus,Stegastes adustus,ducky damselfish,Pomacentridae,Stegastes,adustus,PomacentridaeStegastessp,Microinvertivore,Small Omnivore,Omnivore,Omnivore,2.6,2.53,n,n,,,0.0384,3.01,0.0303,2.887,0.0384,3.01,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sargocentron,vexillarium,Sargocentron vexillarium,dusky squirrelfish,Holocentridae,Sargocentron,vexillarium,Holocentridaespsp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.5,n,n,,,0.0158,3.051,0.0198,3,0.0158,3.051,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholsina,usta,Nicholsina usta,emerald parrotfish,Scaridae,Nicholsina,usta,ScaridaeScarussp,Herbivores,Herbivore,Herbivore,Herbivore,2,2,n,n,,,0.001,1.179,0.023,2.861,0.1444,2.385,n,used just the standard a and b for parrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nicholsina,usta,Nicholsina usta,emerald parrotfish,Scaridae,Nicholsina,usta,Scaridaespsp,Herbivores,Herbivore,Herbivore,Herbivore,2,2,n,n,,,0.001,1.179,0.023,2.861,0.1444,2.385,n,used just the standard a and b for parrots,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gramma,loreto,Gramma loreto,fairy basslet,Grammatidae,Gramma,loreto,Grammatidaespsp,Planktivores,Microinvertivore,Microinvertivore,Microinvertivore,3.5,3.31,n,n,,,0.016,3,0.00903,3.151666667,0.016,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerres,eucinostoma,Gerres eucinostoma,flagfin mojarra,Gerreidae,Gerres,eucinostoma,Gerreidaespsp,omnivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,2.8,3.32,n,n,,,0.0184,3.084,0.0158,2.909,0.0184,3.084,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gerres,eucinostoma,Gerres eucinostoma,flagfin mojarra,Gerreidae,Gerres,eucinostoma,GerreidaeEucinostmussp,omnivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,2.8,3.32,n,n,,,0.0184,3.084,0.0158,2.909,0.0184,3.084,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ablennes,hians,Ablennes hians,Flat needlefish,Belonidae,Ablennes,hians,BelonidaeTylosuruscrocodilus,#N/A,Piscivore Invertivore,pred,Piscivore,4.5,4.5,p,n,,,NA,NA,0.0009,3.19,0.0009,3.19,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaetodon,capistratus,Chaetodon capistratus,foureye butterflyfish,Chaetodontidae,Chaetodon,capistratus,ChaetodontidaeChaetodoncapistratus,Microinvertivore,Microinvertivore,Microinvertivore,Microinvertivore,3.2,3.02,n,n,,,0.047,2.86,0,0,0.047,2.86,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pomacanthus,paru,Pomacanthus paru,french angelfish,Pomacanthidae,Pomacanthus,paru,Pomacanthidaespsp,omnivore,Large Omnivore,Omnivore,Omnivore,2.8,2.81,n,n,,,0.0203,3.126,0.0319,2.899,0.0203,3.126,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Haemulon,flavolineatum,Haemulon flavolineatum,french grunt,Haemulidae,Haemulon,flavolineatum,HaemulidaeHaemulonflavolineatum,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.5,3.27,n,n,,,0.0211,3,0.0232,3,0.0211,3,y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mycteroperca,microlepis,Mycteroperca microlepis,Gag,Serranidae,Mycteroperca,microlepis,SerranidaeMycteropercasp,Macroinvertivore,Macroinvertivore,Macroinvertivore,Macroinvertivore,3.7,3.7,n,n,,,NA,NA,0.0086,3.133333333,0.0086,3.133333333,n,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
